Fondsposition per,"14.Mai2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"EL","ESTEE LAUDER INC CLASS A","Nichtzyklische Konsumgüter","Aktien","5.650.825,30","0,02","5.650.825,30","69.910,00","80,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Aktien","5.633.282,58","0,02","5.633.282,58","3.198.791,00","1,76","Taiwan","Taiwan Stock Exchange","TWD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrie","Aktien","5.622.541,29","0,02","5.622.541,29","39.217,00","143,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IONQ","IONQ INC","IT","Aktien","5.608.209,95","0,02","5.608.209,95","97.585,00","57,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FBK","FINECOBANK BANCA FINECO","Financials","Aktien","5.587.654,02","0,02","5.587.654,02","221.172,00","25,26","Italien","Borsa Italiana","EUR"
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Industrie","Aktien","5.580.766,10","0,02","5.580.766,10","86.030,00","64,87","Vereinigte Staaten","NASDAQ","USD"
"GPN","GLOBAL PAYMENTS INC","Financials","Aktien","5.581.791,66","0,02","5.581.791,66","82.902,00","67,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AGN","AEGON LTD","Financials","Aktien","5.567.470,06","0,02","5.567.470,06","656.928,00","8,48","Niederlande","Euronext Amsterdam","EUR"
"KEY","KEYERA CORP","Energie","Aktien","5.536.205,99","0,02","5.536.205,99","137.933,00","40,14","Kanada","Toronto Stock Exchange","CAD"
"GMAB","GENMAB","Gesundheitsversorgung","Aktien","5.538.187,08","0,02","5.538.187,08","21.041,00","263,21","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"6178","JAPAN POST HOLDINGS LTD","Financials","Aktien","5.534.279,30","0,02","5.534.279,30","448.600,00","12,34","Japan","Tokyo Stock Exchange","JPY"
"7769","HONPRECISION INC","IT","Aktien","5.517.372,68","0,02","5.517.372,68","23.000,00","239,89","Taiwan","Taiwan Stock Exchange","TWD"
"LDOS","LEIDOS HOLDINGS INC","Industrie","Aktien","5.503.107,60","0,02","5.503.107,60","43.832,00","125,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GJF","GJENSIDIGE FORSIKRING","Financials","Aktien","5.498.614,53","0,02","5.498.614,53","204.339,00","26,91","Norwegen","Oslo Bors Asa","NOK"
"7912","DAI NIPPON PRINTING LTD","Industrie","Aktien","5.494.574,92","0,02","5.494.574,92","300.100,00","18,31","Japan","Tokyo Stock Exchange","JPY"
"9987","YUM CHINA HOLDINGS INC","Zyklische Konsumgüter ","Aktien","5.484.672,13","0,02","5.484.672,13","118.342,00","46,35","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"A5G","AIB GROUP PLC","Financials","Aktien","5.485.700,02","0,02","5.485.700,02","485.694,00","11,29","Irland","Irish Stock Exchange - All Market","EUR"
"PTT.R","PTT NON-VOTING DR PCL","Energie","Aktien","5.481.379,98","0,02","5.481.379,98","4.758.500,00","1,15","Thailand","Stock Exchange Of Thailand","THB"
"KHC","KRAFT HEINZ","Nichtzyklische Konsumgüter","Aktien","5.454.236,97","0,02","5.454.236,97","233.987,00","23,31","Vereinigte Staaten","NASDAQ","USD"
"DLTR","DOLLAR TREE INC","Nichtzyklische Konsumgüter","Aktien","5.453.621,52","0,02","5.453.621,52","60.616,00","89,97","Vereinigte Staaten","NASDAQ","USD"
"4543","TERUMO CORP","Gesundheitsversorgung","Aktien","5.425.893,96","0,02","5.425.893,96","444.600,00","12,20","Japan","Tokyo Stock Exchange","JPY"
"GEN","GEN DIGITAL INC","IT","Aktien","5.427.991,06","0,02","5.427.991,06","234.167,00","23,18","Vereinigte Staaten","NASDAQ","USD"
"1925","DAIWA HOUSE INDUSTRY LTD","Immobilien","Aktien","5.420.520,41","0,02","5.420.520,41","188.900,00","28,70","Japan","Tokyo Stock Exchange","JPY"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materialien","Aktien","5.417.510,53","0,02","5.417.510,53","73.939,00","73,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRK","MERCK","Gesundheitsversorgung","Aktien","5.405.486,77","0,02","5.405.486,77","38.327,00","141,04","Deutschland","Xetra","EUR"
"CCL.B","CCL INDUSTRIES INC CLASS B","Materialien","Aktien","5.399.403,26","0,02","5.399.403,26","85.097,00","63,45","Kanada","Toronto Stock Exchange","CAD"
"RPRX","ROYALTY PHARMA PLC CLASS A","Gesundheitsversorgung","Aktien","5.393.293,20","0,02","5.393.293,20","100.998,00","53,40","Vereinigte Staaten","NASDAQ","USD"
"BBD.B","BOMBARDIER INC CLASS B","Industrie","Aktien","5.393.477,70","0,02","5.393.477,70","27.615,00","195,31","Kanada","Toronto Stock Exchange","CAD"
"AFRM","AFFIRM HOLDINGS INC CLASS A","Financials","Aktien","5.382.761,34","0,02","5.382.761,34","79.662,00","67,57","Vereinigte Staaten","NASDAQ","USD"
"RDDT","REDDIT INC CLASS A","Kommunikation","Aktien","5.354.711,67","0,02","5.354.711,67","34.257,00","156,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7013","IHI CORP","Industrie","Aktien","5.333.754,47","0,02","5.333.754,47","314.800,00","16,94","Japan","Tokyo Stock Exchange","JPY"
"KPN","KONINKLIJKE KPN NV","Kommunikation","Aktien","5.336.177,72","0,02","5.336.177,72","996.433,00","5,36","Niederlande","Euronext Amsterdam","EUR"
"8473","SBI HOLDINGS INC","Financials","Aktien","5.333.037,40","0,02","5.333.037,40","274.900,00","19,40","Japan","Tokyo Stock Exchange","JPY"
"WY","WEYERHAEUSER REIT","Immobilien","Aktien","5.326.298,45","0,02","5.326.298,45","228.107,00","23,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LEN","LENNAR A CORP CLASS A","Zyklische Konsumgüter ","Aktien","5.313.717,75","0,02","5.313.717,75","62.331,00","85,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2887","TS FINANCIAL HOLDING LTD","Financials","Aktien","5.305.420,94","0,02","5.305.420,94","7.238.110,00","0,73","Taiwan","Taiwan Stock Exchange","TWD"
"ESS","ESSEX PROPERTY TRUST REIT INC","Immobilien","Aktien","5.301.319,26","0,02","5.301.319,26","19.742,00","268,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Gesundheitsversorgung","Aktien","5.287.864,35","0,02","5.287.864,35","63.979,00","82,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ELI","ELIA GROUP SA","Versorger","Aktien","5.279.470,14","0,02","5.279.470,14","33.507,00","157,56","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"NVMI","NOVA LTD","IT","Aktien","5.266.097,24","0,02","5.266.097,24","9.603,00","548,38","Israel","Tel Aviv Stock Exchange","ILS"
"FLUT","FLUTTER ENTERTAINMENT PLC","Zyklische Konsumgüter ","Aktien","5.267.143,55","0,02","5.267.143,55","56.123,00","93,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRMB","TRIMBLE INC","IT","Aktien","5.261.513,60","0,02","5.261.513,60","94.360,00","55,76","Vereinigte Staaten","NASDAQ","USD"
"ORNBV","ORION CLASS B","Gesundheitsversorgung","Aktien","5.262.281,80","0,02","5.262.281,80","66.895,00","78,67","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"EAND","EMIRATES TELECOM","Kommunikation","Aktien","5.258.118,76","0,02","5.258.118,76","1.027.263,00","5,12","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"CLNX","CELLNEX TELECOM","Kommunikation","Aktien","5.253.288,78","0,02","5.253.288,78","156.441,00","33,58","Spanien","Bolsa De Madrid","EUR"
"ABG","ABSA GROUP LTD","Financials","Aktien","5.245.311,01","0,02","5.245.311,01","369.438,00","14,20","Südafrika","Johannesburg Stock Exchange","ZAR"
"AENA","AENA SME SA","Industrie","Aktien","5.240.203,64","0,02","5.240.203,64","191.566,00","27,35","Spanien","Bolsa De Madrid","EUR"
"INVH","INVITATION HOMES INC","Immobilien","Aktien","5.221.950,40","0,02","5.221.950,40","183.355,00","28,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAAB B","SAAB CLASS B","Industrie","Aktien","5.216.827,10","0,02","5.216.827,10","99.142,00","52,62","Schweden","Nasdaq Omx Nordic","SEK"
"TSCO","TRACTOR SUPPLY","Zyklische Konsumgüter ","Aktien","5.200.099,99","0,02","5.200.099,99","170.551,00","30,49","Vereinigte Staaten","NASDAQ","USD"
"CAP","CAPGEMINI","IT","Aktien","5.190.979,78","0,02","5.190.979,78","45.960,00","112,95","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"6586","MAKITA CORP","Industrie","Aktien","5.175.478,20","0,02","5.175.478,20","146.000,00","35,45","Japan","Tokyo Stock Exchange","JPY"
"GPC","GENUINE PARTS","Zyklische Konsumgüter ","Aktien","5.160.303,05","0,02","5.160.303,05","53.095,00","97,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VNA","VONOVIA SE","Immobilien","Aktien","5.154.415,54","0,02","5.154.415,54","198.785,00","25,93","Deutschland","Xetra","EUR"
"IEX","IDEX CORP","Industrie","Aktien","5.107.635,40","0,02","5.107.635,40","24.161,00","211,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Versorger","Aktien","5.092.030,75","0,02","5.092.030,75","438.858,00","11,60","Italien","Borsa Italiana","EUR"
"LVS","LAS VEGAS SANDS CORP","Zyklische Konsumgüter ","Aktien","5.092.199,05","0,02","5.092.199,05","100.537,00","50,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTN","MTN GROUP LTD","Kommunikation","Aktien","5.079.387,34","0,02","5.079.387,34","397.602,00","12,78","Südafrika","Johannesburg Stock Exchange","ZAR"
"2269","WUXI BIOLOGICS CAYMAN INC","Gesundheitsversorgung","Aktien","5.067.442,93","0,02","5.067.442,93","1.216.000,00","4,17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"EVN","EVOLUTION MINING LTD","Materialien","Aktien","5.062.237,84","0,02","5.062.237,84","529.413,00","9,56","Australien","Asx - All Markets","AUD"
"WKL","WOLTERS KLUWER NV","Industrie","Aktien","5.048.329,55","0,02","5.048.329,55","74.061,00","68,16","Niederlande","Euronext Amsterdam","EUR"
"7733","OLYMPUS CORP","Gesundheitsversorgung","Aktien","5.044.541,40","0,02","5.044.541,40","441.000,00","11,44","Japan","Tokyo Stock Exchange","JPY"
"6594","NIDEC CORP","Industrie","Aktien","5.041.151,47","0,02","5.041.151,47","296.700,00","16,99","Japan","Tokyo Stock Exchange","JPY"
"UDR","UDR REIT INC","Immobilien","Aktien","5.034.888,26","0,02","5.034.888,26","134.839,00","37,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CDW","CDW CORP","IT","Aktien","5.028.723,84","0,02","5.028.723,84","49.224,00","102,16","Vereinigte Staaten","NASDAQ","USD"
"NBIX","NEUROCRINE BIOSCIENCES INC","Gesundheitsversorgung","Aktien","5.026.775,25","0,02","5.026.775,25","31.605,00","159,05","Vereinigte Staaten","NASDAQ","USD"
"DAL","DELTA AIR LINES INC","Industrie","Aktien","5.016.799,80","0,02","5.016.799,80","70.116,00","71,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STLAM","STELLANTIS NV","Zyklische Konsumgüter ","Aktien","5.009.002,31","0,02","5.009.002,31","639.888,00","7,83","Italien","Borsa Italiana","EUR"
"PNR","PENTAIR","Industrie","Aktien","5.007.375,36","0,02","5.007.375,36","66.872,00","74,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"298040","HYOSUNG HEAVY INDUSTRIES CORP","Industrie","Aktien","5.002.397,80","0,02","5.002.397,80","1.853,00","2.699,62","Korea","Korea Exchange (Stock Market)","KRW"
"4307","NOMURA RESEARCH INSTITUTE LTD","IT","Aktien","5.001.568,18","0,02","5.001.568,18","189.500,00","26,39","Japan","Tokyo Stock Exchange","JPY"
"RO","ROCHE HOLDING AG","Gesundheitsversorgung","Aktien","4.989.746,50","0,02","4.989.746,50","11.905,00","419,13","Schweiz","SIX Swiss Exchange","CHF"
"AMCR","AMCOR PLC","Materialien","Aktien","4.984.554,53","0,02","4.984.554,53","129.167,00","38,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HEI","HEICO CORP","Industrie","Aktien","4.980.828,30","0,02","4.980.828,30","16.762,00","297,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Immobilien","Aktien","4.981.563,42","0,02","4.981.563,42","39.154,00","127,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TXT","TEXTRON INC","Industrie","Aktien","4.964.854,98","0,02","4.964.854,98","54.237,00","91,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DSY","DASSAULT SYSTEMES","IT","Aktien","4.954.975,28","0,02","4.954.975,28","216.277,00","22,91","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"373220","LG ENERGY SOLUTION LTD","Industrie","Aktien","4.956.435,83","0,02","4.956.435,83","16.719,00","296,46","Korea","Korea Exchange (Stock Market)","KRW"
"TEN","TENARIS SA","Energie","Aktien","4.948.896,97","0,02","4.948.896,97","157.278,00","31,47","Italien","Borsa Italiana","EUR"
"9633","NONGFU SPRING LTD H","Nichtzyklische Konsumgüter","Aktien","4.944.221,44","0,02","4.944.221,44","864.400,00","5,72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9022","CENTRAL JAPAN RAILWAY","Industrie","Aktien","4.946.167,13","0,02","4.946.167,13","216.200,00","22,88","Japan","Tokyo Stock Exchange","JPY"
"ASELS.E","ASELSAN ELEKTRONIK SANAYI VE TICAR","Industrie","Aktien","4.946.171,85","0,02","4.946.171,85","540.838,00","9,15","Türkei","Istanbul Stock Exchange","TRY"
"IP","INTERNATIONAL PAPER","Materialien","Aktien","4.941.639,60","0,02","4.941.639,60","156.381,00","31,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Nichtzyklische Konsumgüter","Aktien","4.942.151,13","0,02","4.942.151,13","54.411,00","90,83","Niederlande","NASDAQ","USD"
"1109","CHINA RESOURCES LAND LTD","Immobilien","Aktien","4.937.612,99","0,02","4.937.612,99","1.028.000,00","4,80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"066570","LG ELECTRONICS INC","Zyklische Konsumgüter ","Aktien","4.928.292,03","0,02","4.928.292,03","33.861,00","145,54","Korea","Korea Exchange (Stock Market)","KRW"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","IT","Aktien","4.924.548,00","0,02","4.924.548,00","19.080,00","258,10","Vereinigte Staaten","NASDAQ","USD"
"7532","PAN PACIFIC INTERNATIONAL HOLDINGS","Zyklische Konsumgüter ","Aktien","4.921.381,01","0,02","4.921.381,01","907.100,00","5,43","Japan","Tokyo Stock Exchange","JPY"
"RI","PERNOD RICARD SA","Nichtzyklische Konsumgüter","Aktien","4.915.076,92","0,02","4.915.076,92","68.805,00","71,44","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MAYBANK","MALAYAN BANKING","Financials","Aktien","4.898.839,12","0,01","4.898.839,12","1.722.700,00","2,84","Malaysia","Bursa Malaysia","MYR"
"SMCI","SUPER MICRO COMPUTER INC","IT","Aktien","4.880.710,98","0,01","4.880.710,98","147.766,00","33,03","Vereinigte Staaten","NASDAQ","USD"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energie","Aktien","4.876.323,73","0,01","4.876.323,73","8.357.400,00","0,58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TLS","TELSTRA GROUP LTD","Kommunikation","Aktien","4.867.381,18","0,01","4.867.381,18","1.265.889,00","3,85","Australien","Asx - All Markets","AUD"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Versorger","Aktien","4.855.228,36","0,01","4.855.228,36","944.744,00","5,14","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"4507","SHIONOGI LTD","Gesundheitsversorgung","Aktien","4.854.845,87","0,01","4.854.845,87","249.600,00","19,45","Japan","Tokyo Stock Exchange","JPY"
"6160","BEONE MEDICINES AG","Gesundheitsversorgung","Aktien","4.844.566,58","0,01","4.844.566,58","205.439,00","23,58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aktien","4.835.394,93","0,01","4.835.394,93","46.630,00","103,70","Schweiz","SIX Swiss Exchange","CHF"
"PZU","PZU SA","Financials","Aktien","4.836.490,64","0,01","4.836.490,64","273.613,00","17,68","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"SKA B","SKANSKA B","Industrie","Aktien","4.834.829,16","0,01","4.834.829,16","181.622,00","26,62","Schweden","Nasdaq Omx Nordic","SEK"
"6669","WIWYNN CORPORATION CORP","IT","Aktien","4.828.811,68","0,01","4.828.811,68","28.000,00","172,46","Taiwan","Taiwan Stock Exchange","TWD"
"MPL","MEDIBANK PRIVATE LTD","Financials","Aktien","4.829.321,22","0,01","4.829.321,22","1.455.745,00","3,32","Australien","Asx - All Markets","AUD"
"TFII","TFI INTERNATIONAL INC","Industrie","Aktien","4.831.691,13","0,01","4.831.691,13","33.865,00","142,68","Kanada","Toronto Stock Exchange","CAD"
"3407","ASAHI KASEI CORP","Materialien","Aktien","4.826.921,50","0,01","4.826.921,50","441.500,00","10,93","Japan","Tokyo Stock Exchange","JPY"
"BRO","BROWN & BROWN INC","Financials","Aktien","4.828.484,14","0,01","4.828.484,14","86.563,00","55,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PKG","PACKAGING CORP OF AMERICA","Materialien","Aktien","4.823.931,70","0,01","4.823.931,70","21.917,00","220,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRU","TRANSUNION","Industrie","Aktien","4.817.043,66","0,01","4.817.043,66","72.787,00","66,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BOL","BOLIDEN","Materialien","Aktien","4.818.507,94","0,01","4.818.507,94","82.509,00","58,40","Schweden","Nasdaq Omx Nordic","SEK"
"PUB","PUBLICIS GROUPE SA","Kommunikation","Aktien","4.812.966,57","0,01","4.812.966,57","53.088,00","90,66","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ESSITY B","ESSITY CLASS B","Nichtzyklische Konsumgüter","Aktien","4.810.618,89","0,01","4.810.618,89","182.030,00","26,43","Schweden","Nasdaq Omx Nordic","SEK"
"042700","HANMI SEMICONDUCTOR LTD","IT","Aktien","4.799.358,13","0,01","4.799.358,13","17.474,00","274,66","Korea","Korea Exchange (Stock Market)","KRW"
"YAR","YARA INTERNATIONAL","Materialien","Aktien","4.796.854,45","0,01","4.796.854,45","84.250,00","56,94","Norwegen","Oslo Bors Asa","NOK"
"TEL2 B","TELE2 B","Kommunikation","Aktien","4.793.106,94","0,01","4.793.106,94","246.448,00","19,45","Schweden","Nasdaq Omx Nordic","SEK"
"SCCO","SOUTHERN COPPER CORP","Materialien","Aktien","4.789.973,50","0,01","4.789.973,50","25.411,00","188,50","Peru","New York Stock Exchange Inc.","USD"
"ZS","ZSCALER INC","IT","Aktien","4.787.755,00","0,01","4.787.755,00","31.150,00","153,70","Vereinigte Staaten","NASDAQ","USD"
"207940","SAMSUNG BIOLOGICS LTD","Gesundheitsversorgung","Aktien","4.781.568,80","0,01","4.781.568,80","4.920,00","971,86","Korea","Korea Exchange (Stock Market)","KRW"
"RTO","RENTOKIL INITIAL PLC","Industrie","Aktien","4.769.843,92","0,01","4.769.843,92","743.282,00","6,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"BT.A","BT GROUP PLC","Kommunikation","Aktien","4.764.561,42","0,01","4.764.561,42","1.506.764,00","3,16","Vereinigtes Königreich","London Stock Exchange","GBP"
"CPALL.R","CP ALL NON-VOTING DR PCL","Nichtzyklische Konsumgüter","Aktien","4.765.861,62","0,01","4.765.861,62","3.296.600,00","1,45","Thailand","Stock Exchange Of Thailand","THB"
"2","CLP HOLDINGS LTD","Versorger","Aktien","4.749.597,82","0,01","4.749.597,82","482.500,00","9,84","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"7012","KAWASAKI HEAVY INDUSTRIES LTD","Industrie","Aktien","4.744.649,53","0,01","4.744.649,53","237.300,00","19,99","Japan","Tokyo Stock Exchange","JPY"
"MG","MAGNA INTERNATIONAL INC","Zyklische Konsumgüter ","Aktien","4.731.351,59","0,01","4.731.351,59","74.714,00","63,33","Kanada","Toronto Stock Exchange","CAD"
"KNEBV","KONE","Industrie","Aktien","4.726.131,53","0,01","4.726.131,53","81.203,00","58,20","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SKF B","SKF B","Industrie","Aktien","4.719.371,28","0,01","4.719.371,28","188.261,00","25,07","Schweden","Nasdaq Omx Nordic","SEK"
"AOT.R","AIRPORTS OF THAILAND NON-VOTING DR","Industrie","Aktien","4.719.427,91","0,01","4.719.427,91","2.866.000,00","1,65","Thailand","Stock Exchange Of Thailand","THB"
"ORSTED","ORSTED A/S","Versorger","Aktien","4.707.838,45","0,01","4.707.838,45","185.300,00","25,41","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"8795","T&D HOLDINGS INC","Financials","Aktien","4.696.773,21","0,01","4.696.773,21","185.600,00","25,31","Japan","Tokyo Stock Exchange","JPY"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Aktien","4.688.925,37","0,01","4.688.925,37","4.639.607,00","1,01","Taiwan","Taiwan Stock Exchange","TWD"
"X","TMX GROUP LTD","Financials","Aktien","4.689.739,45","0,01","4.689.739,45","119.135,00","39,36","Kanada","Toronto Stock Exchange","CAD"
"6326","KUBOTA CORP","Industrie","Aktien","4.687.603,15","0,01","4.687.603,15","258.300,00","18,15","Japan","Tokyo Stock Exchange","JPY"
"TRYG","TRYG","Financials","Aktien","4.679.479,40","0,01","4.679.479,40","199.063,00","23,51","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"KIM","KIMCO REALTY REIT CORP","Immobilien","Aktien","4.672.647,58","0,01","4.672.647,58","201.581,00","23,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"3443","GLOBAL UNICHIP CORP","IT","Aktien","4.669.998,41","0,01","4.669.998,41","29.000,00","161,03","Taiwan","Taiwan Stock Exchange","TWD"
"7832","BANDAI NAMCO HOLDINGS INC","Zyklische Konsumgüter ","Aktien","4.635.181,64","0,01","4.635.181,64","192.700,00","24,05","Japan","Tokyo Stock Exchange","JPY"
"J","JACOBS SOLUTIONS INC","Industrie","Aktien","4.628.685,24","0,01","4.628.685,24","41.049,00","112,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DECK","DECKERS OUTDOOR CORP","Zyklische Konsumgüter ","Aktien","4.616.586,67","0,01","4.616.586,67","48.611,00","94,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","Financials","Aktien","4.611.660,80","0,01","4.611.660,80","48.320,00","95,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2502","ASAHI GROUP HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","4.605.766,86","0,01","4.605.766,86","477.000,00","9,66","Japan","Tokyo Stock Exchange","JPY"
"1024","KUAISHOU TECHNOLOGY","Kommunikation","Aktien","4.588.731,42","0,01","4.588.731,42","706.800,00","6,49","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energie","Aktien","4.580.006,92","0,01","4.580.006,92","202.648,00","22,60","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"BPE","BPER BANCA","Financials","Aktien","4.572.069,19","0,01","4.572.069,19","308.710,00","14,81","Italien","Borsa Italiana","EUR"
"7453","RYOHIN KEIKAKU LTD","Zyklische Konsumgüter ","Aktien","4.526.860,16","0,01","4.526.860,16","208.900,00","21,67","Japan","Tokyo Stock Exchange","JPY"
"1801","INNOVENT BIOLOGICS INC","Gesundheitsversorgung","Aktien","4.527.386,24","0,01","4.527.386,24","409.000,00","11,07","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"5274","ASPEED TECHNOLOGY INC","IT","Aktien","4.521.021,74","0,01","4.521.021,74","8.000,00","565,13","Taiwan","Gretai Securities Market","TWD"
"LUN","LUNDIN MINING CORP","Materialien","Aktien","4.521.669,74","0,01","4.521.669,74","150.072,00","30,13","Kanada","Toronto Stock Exchange","CAD"
"IAG","IA FINANCIAL INC","Financials","Aktien","4.518.540,99","0,01","4.518.540,99","36.303,00","124,47","Kanada","Toronto Stock Exchange","CAD"
"267","CITIC LTD","Industrie","Aktien","4.504.444,36","0,01","4.504.444,36","2.627.000,00","1,71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TOU","TOURMALINE OIL CORP","Energie","Aktien","4.498.443,50","0,01","4.498.443,50","93.091,00","48,32","Kanada","Toronto Stock Exchange","CAD"
"GIL","GILDAN ACTIVEWEAR INC","Zyklische Konsumgüter ","Aktien","4.494.446,09","0,01","4.494.446,09","78.713,00","57,10","Kanada","Toronto Stock Exchange","CAD"
"135","KUNLUN ENERGY LTD","Versorger","Aktien","4.487.002,71","0,01","4.487.002,71","4.600.000,00","0,98","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BNR","BRENNTAG","Industrie","Aktien","4.482.009,10","0,01","4.482.009,10","62.254,00","72,00","Deutschland","Xetra","EUR"
"APTV","APTIV PLC","Zyklische Konsumgüter ","Aktien","4.471.893,96","0,01","4.471.893,96","77.691,00","57,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LULU","LULULEMON ATHLETICA INC","Zyklische Konsumgüter ","Aktien","4.459.002,98","0,01","4.459.002,98","36.833,00","121,06","Vereinigte Staaten","NASDAQ","USD"
"BSANTANDER","BANCO SANTANDER CHILE","Financials","Aktien","4.456.561,37","0,01","4.456.561,37","57.450.945,00","0,08","Chile","Santiago Stock Exchange","CLP"
"UPM","UPM-KYMMENE","Materialien","Aktien","4.457.059,90","0,01","4.457.059,90","150.591,00","29,60","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ALLE","ALLEGION PLC","Industrie","Aktien","4.443.023,20","0,01","4.443.023,20","33.880,00","131,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MAERSK B","A P MOLLER MAERSK B","Industrie","Aktien","4.425.990,36","0,01","4.425.990,36","1.927,00","2.296,83","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"2020","ANTA SPORTS PRODUCTS LTD","Zyklische Konsumgüter ","Aktien","4.428.239,11","0,01","4.428.239,11","448.400,00","9,88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HNR1","HANNOVER RUECK","Financials","Aktien","4.424.426,05","0,01","4.424.426,05","16.051,00","275,65","Deutschland","Xetra","EUR"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Kommunikation","Aktien","4.406.256,00","0,01","4.406.256,00","29.772,00","148,00","Vereinigte Staaten","NASDAQ","USD"
"EMA","EMERA INC","Versorger","Aktien","4.402.283,09","0,01","4.402.283,09","84.186,00","52,29","Kanada","Toronto Stock Exchange","CAD"
"051910","LG CHEM LTD","Materialien","Aktien","4.378.719,94","0,01","4.378.719,94","16.633,00","263,25","Korea","Korea Exchange (Stock Market)","KRW"
